dataset,column,dtype,null_pct,n_unique,source,meaning,example_values
historical_2015_2024,api_cards_yellow_per90,float64,0.0,941,API-Football,Rate per 90 minutes,0.0 (4946); 0.111 (70); 0.125 (65)
historical_2015_2024,api_cards_red_per90,float64,0.0,292,API-Football,Rate per 90 minutes,0.0 (18250); 0.033 (71); 0.031 (71)
historical_2015_2024,understat_league,object,0.0,5,Understat,Understat player-season stat/attribute,ITA-Serie A (5234); GER-Bundesliga (4044); ENG-Premier League (3933)
historical_2015_2024,api_height,int64,0.0,43,API-Football,API-Football player-season stat/attribute,180 (1605); 185 (1408); 183 (1389)
historical_2015_2024,api_weight,int64,0.0,49,API-Football,API-Football player-season stat/attribute,75 (1452); 70 (1285); 76 (1220)
historical_2015_2024,understat_season,int64,0.0,10,Understat,Understat player-season stat/attribute,2223 (2459); 2122 (2425); 2324 (2383)
historical_2015_2024,understat_team,object,0.0,160,Understat,Understat player-season stat/attribute,Fiorentina (284); Genoa (280); Bologna (280)
historical_2015_2024,understat_player,object,0.0,6310,Understat,Understat player-season stat/attribute,Danilo (23); Adama Traoré (16); Felipe (14)
historical_2015_2024,understat_league_id,int64,0.0,5,Understat,Understat player-season stat/attribute,2 (5234); 3 (4044); 1 (3933)
historical_2015_2024,understat_season_id,int64,0.0,10,Understat,Understat player-season stat/attribute,2022 (2459); 2021 (2425); 2023 (2383)
historical_2015_2024,understat_team_id,int64,0.0,160,Understat,Understat player-season stat/attribute,110 (284); 101 (280); 97 (280)
historical_2015_2024,understat_player_id,int64,0.0,6359,Understat,Understat player-season stat/attribute,1281 (12); 1445 (12); 133 (12)
historical_2015_2024,understat_position,object,0.0,16,Understat,Understat player-season stat/attribute,M S (4186); D S (4017); F M S (3071)
historical_2015_2024,understat_matches,int64,0.0,39,Understat,Understat player-season stat/attribute,1 (965); 31 (805); 33 (783)
historical_2015_2024,understat_minutes,int64,0.0,3291,Understat,Understat player-season stat/attribute,90 (225); 1 (167); 3420 (122)
historical_2015_2024,understat_goals,int64,0.0,40,Understat,Understat player-season stat/attribute,0 (9993); 1 (3737); 2 (2066)
historical_2015_2024,understat_xg,float64,0.0,17084,Understat,Understat player-season stat/attribute,0.0 (3111); 0.3405780997127294 (3); 5.058404855430126 (2)
historical_2015_2024,understat_np_goals,int64,0.0,34,Understat,Understat player-season stat/attribute,0 (10132); 1 (3823); 2 (2106)
historical_2015_2024,understat_np_xg,float64,0.0,17081,Understat,Understat player-season stat/attribute,0.0 (3115); 0.3405780997127294 (3); 1.48651984333992 (2)
historical_2015_2024,understat_assists,int64,0.0,20,Understat,Understat player-season stat/attribute,0 (10220); 1 (4128); 2 (2378)
historical_2015_2024,understat_xa,float64,0.0,17126,Understat,Understat player-season stat/attribute,0.0 (3079); 0.6326698958873749 (3); 2.135241908952594 (2)
historical_2015_2024,understat_shots,int64,0.0,164,Understat,Understat player-season stat/attribute,0 (3111); 1 (1073); 2 (859)
historical_2015_2024,understat_key_passes,int64,0.0,118,Understat,Understat player-season stat/attribute,0 (3075); 1 (1644); 2 (1239)
historical_2015_2024,understat_yellow_cards,int64,0.0,19,Understat,Understat player-season stat/attribute,0 (4717); 1 (3681); 2 (3016)
