dataset,column,count,mean,std,min,5%,25%,50%,75%,95%,max,skew
prediction_2025,api_goals_total,2184.0,1.6236263736263736,2.679439443287194,0.0,0.0,0.0,1.0,2.0,7.0,32.0,3.135014323442384
prediction_2025,api_goals_conceded,2184.0,1.6726190476190477,7.520225366595257,0.0,0.0,0.0,0.0,0.0,9.0,68.0,5.027285796407518
prediction_2025,api_goals_assists,2184.0,1.1231684981684982,1.7060518071452626,0.0,0.0,0.0,0.0,2.0,4.0,18.0,2.781611276105765
prediction_2025,api_goals_saves,2184.0,3.5558608058608057,16.052810020852764,0.0,0.0,0.0,0.0,0.0,16.699999999999818,122.0,4.91598184763337
prediction_2025,api_passes_total,2184.0,539.6282051282051,466.6275955397166,0.0,19.0,157.75,420.0,818.5,1425.85,2745.0,1.0934000893533748
prediction_2025,api_passes_key,2184.0,11.356227106227106,12.96411155519907,0.0,0.0,2.0,7.0,16.0,38.0,109.0,1.9976169090969804
prediction_2025,api_tackles_total,2184.0,19.388736263736263,18.30350530414134,0.0,0.0,4.0,14.0,30.0,55.0,104.0,1.183681085237503
prediction_2025,api_tackles_blocks,2184.0,4.087454212454213,5.757836232346795,0.0,0.0,0.0,2.0,6.0,16.0,45.0,2.291169007165628
prediction_2025,api_tackles_interceptions,2184.0,10.102106227106226,10.843538711892664,0.0,0.0,1.0,6.0,16.0,32.0,63.0,1.3139035088490458
prediction_2025,api_duels_total,2184.0,116.18681318681318,90.96500457265554,0.0,4.0,37.0,102.5,176.0,282.8499999999999,492.0,0.7452642349581967
prediction_2025,api_duels_won,2184.0,58.26373626373626,47.17460130900258,0.0,2.0,17.0,48.0,90.0,147.0,270.0,0.8366479896610434
prediction_2025,api_dribbles_attempts,2184.0,17.252747252747252,21.220808501922253,0.0,0.0,3.0,10.0,24.0,59.84999999999991,244.0,2.643478083450489
prediction_2025,api_dribbles_success,2184.0,8.054487179487179,10.236115721299985,0.0,0.0,1.0,5.0,11.0,28.0,135.0,2.989728008931539
prediction_2025,api_dribbles_past,2184.0,8.210164835164836,8.097451976487735,0.0,0.0,2.0,6.0,12.0,24.0,54.0,1.516207707399676
prediction_2025,api_fouls_drawn,2184.0,13.447802197802197,13.22167409234516,0.0,0.0,3.0,9.0,20.0,40.0,104.0,1.6001131402393822
prediction_2025,api_fouls_committed,2184.0,14.217032967032967,12.015014396384082,0.0,0.0,4.0,12.0,22.0,37.0,74.0,0.9481141306539249
prediction_2025,api_cards_yellow,2184.0,2.3402014652014653,2.2761918104026453,0.0,0.0,0.0,2.0,4.0,7.0,11.0,1.079743555093696
prediction_2025,api_cards_red,2184.0,0.11446886446886446,0.34470192257889265,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.1082177394980266
prediction_2025,api_penalty_won,2184.0,0.13507326007326007,0.4232984521650279,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.730525398864729
