dataset,column,count,mean,std,min,5%,25%,50%,75%,95%,max,skew
historical_2015_2024,understat_np_xg_per90,19718.0,0.13557099299286085,0.48002647681667066,0.0,0.0,0.016430871220782697,0.062098742300652904,0.1736963764757659,0.45640773610225716,55.53440809249878,81.74816713205612
historical_2015_2024,understat_assists_per90,19718.0,0.08867347479427917,0.31589662141905894,0.0,0.0,0.0,0.0314410489942159,0.12563618653354436,0.30983734840954724,30.0,55.92569409460367
historical_2015_2024,understat_xa_per90,19718.0,0.09931765627491937,0.3778872727809204,0.0,0.0,0.012349718048718025,0.061329150774465296,0.13478687730218955,0.28452206841459327,42.80526101589203,79.93058182776176
historical_2015_2024,understat_shots_per90,19718.0,1.333407042602167,3.0855125786451394,0.0,0.0,0.3402646502835538,0.8516870415126605,1.8773222323884204,3.40757608844998,180.0,30.670333620036132
historical_2015_2024,understat_key_passes_per90,19718.0,0.9350859931828344,2.3011868746761492,0.0,0.0,0.21054684292634854,0.7238605898123325,1.2693528262992295,2.301832335963565,90.0,29.20089602247168
historical_2015_2024,understat_xg_chain_per90,19718.0,0.38093443968133817,0.9107122939372483,0.0,0.02892287923023102,0.1711252879284728,0.30922462382523397,0.4870034031955882,0.8632532552640212,105.66720128059389,83.51738539901511
historical_2015_2024,understat_xg_buildup_per90,19718.0,0.22075783970265855,0.8458330626300015,0.0,0.0,0.09738915989316604,0.1706659254306703,0.2721922055866987,0.5228476063312527,105.66720128059389,103.21563762352145
historical_2015_2024,shot_on_target_rate,19718.0,0.30904992557484473,0.2410662322394793,0.0,0.0,0.0,0.3333333333333333,0.4736842105263157,0.6666666666666666,1.0,0.4368320387821915
historical_2015_2024,goal_conversion_rate,19718.0,0.08606431102720823,0.12089169918559811,0.0,0.0,0.0,0.0454545454545454,0.1428571428571428,0.2857142857142857,1.0,2.8177227845716373
historical_2015_2024,dribble_success_rate,19718.0,0.5002447177940655,0.2851989261859114,0.0,0.0,0.3728813559322034,0.52,0.6666666666666666,1.0,1.0,-0.2955984190601177
historical_2015_2024,duel_win_rate,19718.0,0.49486572628301423,0.1785717635101741,0.0,0.0,0.4235129499561018,0.5,0.5725190839694656,0.8,1.0,-0.303908366901637
historical_2015_2024,goals_minus_xg,19718.0,-0.09166149593635843,1.2241196933166567,-11.143249057233334,-1.9116145250853152,-0.5431005009450018,-0.05794104933738705,0.2222165609709918,1.9189281071070572,10.114825829863548,0.46400285143433595
historical_2015_2024,np_goals_minus_np_xg,19718.0,-0.09778167110990106,1.2067194700464623,-11.112291682511568,-1.8869779230095447,-0.5447828746400774,-0.060964948963373844,0.20724818552844226,1.8767417176626608,9.719112798571588,0.4476693592253905
historical_2015_2024,assists_minus_xa,19718.0,-0.07596453925584738,1.0283569657104483,-9.266709440387784,-1.7177946919109672,-0.4776004776358603,-0.04419705830514425,0.24728648271411657,1.6381021731067442,6.97500766068697,0.23297772829847255
historical_2015_2024,xg_xa_per90,19718.0,0.2434748150363641,0.7963107898453047,0.0,0.0,0.05213706358822355,0.1435816791764224,0.3406608748866139,0.6975378257675462,98.3396691083908,96.52148282325247
historical_2015_2024,np_xg_xa_per90,19718.0,0.23488864926778022,0.7931049622493719,0.0,0.0,0.05190205759266213,0.14116534751271648,0.3287027519769167,0.6603892420878904,98.3396691083908,97.72136583005422
historical_2015_2024,goals_assists_per90,19718.0,0.20274013591642154,0.3683257775423994,0.0,0.0,0.0,0.107,0.3,0.696,30.0,30.496166984086717
historical_2015_2024,cards_per90,19718.0,0.26700343714809355,1.2979140782405765,0.0,0.0,0.0555555555555555,0.1732991014120667,0.31782466755120153,0.6593924400207115,90.0,54.80991044770812
historical_2015_2024,api_minutes_pos_season_pct,19718.0,0.5010143016533117,0.2886652545784419,0.0011467889908256,0.0516039051603905,0.2513176968980465,0.5010468793438977,0.7513192886229535,0.9516129032258064,1.0,0.0002309122659673647
historical_2015_2024,api_avg_rating_pos_season_pct,19718.0,0.5010143016533117,0.2886798933711185,0.0011467889908256,0.05103930608736416,0.2511520737327189,0.5011737089201878,0.7510212612526943,0.9511905976800353,1.0,2.2081949433456443e-05
historical_2015_2024,goals_assists_per90_pos_season_pct,19718.0,0.5010143016533117,0.2741260196140354,0.0852534562211981,0.1096153846153846,0.2087696335078534,0.4887640449438202,0.7318548387096774,0.9497852485596991,1.0,0.12041839753883003
historical_2015_2024,xg_xa_per90_pos_season_pct,19718.0,0.5010143016533117,0.2847143271121286,0.0153374233128834,0.0490742507411864,0.27334030683403066,0.4838709677419355,0.7511520737327189,0.9511402795717157,1.0,0.04525129829353638
historical_2015_2024,np_xg_xa_per90_pos_season_pct,19718.0,0.5010143016533117,0.2847143271121286,0.0153374233128834,0.0490742507411864,0.27334030683403066,0.4838709677419355,0.7511520737327189,0.9511402795717157,1.0,0.04525129788675471
historical_2015_2024,understat_xg_chain_per90_pos_season_pct,19718.0,0.5010143016533117,0.2886657130980165,0.0085714285714285,0.05164891789762966,0.2511520737327189,0.5011764771016033,0.7511520737327189,0.9511402795717157,1.0,0.0005518915426611684
