position,model_spec,algorithm,uses_last_market_value,selected_for_position_setup,selected_hyperparameters,validation_mae,validation_rmse,validation_rmsle,validation_r2,test_mae,test_rmse,test_rmsle,test_r2
M,model_2_full_performance_age_exposure,lightgbm,False,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",6492344.801598896,12074862.843453674,0.8352535844585769,0.620051068183183,7271123.870377378,13661771.730116367,0.873520841848789,0.5768519705564442
M,model_3_position_percentiles,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 60, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",6778167.847039478,13034876.450688215,0.8521181043181484,0.5572336030282452,7793133.352130133,15088528.277323572,0.8718589032823589,0.48385463012803076
M,model_1_simplified_performance,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",7167291.036326385,13753087.611133762,0.8815194182563999,0.5070972577941051,8070791.649947196,15194946.429928448,0.9269247020561383,0.47654829323785497
M,model_2_full_performance_age_exposure,ridge,False,False,"{""regressor__alpha"": 10.0}",7459223.11023716,14013519.272419363,0.9129428815098787,0.4882530706738314,8316448.775980734,16284196.314352645,0.9421770216355707,0.39881112917579087
M,model_1_simplified_performance,ridge,False,False,"{""regressor__alpha"": 10.0}",7622149.017356691,14507470.2770405,0.9210018821180688,0.4515409664438874,8451819.234663082,16575072.945703683,0.9490772834900635,0.37714182296143617
M,model_3_position_percentiles,ridge,False,False,"{""regressor__alpha"": 0.1}",7796733.889746428,15951516.44383405,0.9366989107700815,0.3369217738764516,8785442.170084685,17775620.494648892,0.9701436886033803,0.2836457978588316
M,model_1_simplified_performance,lightgbm,True,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 3, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",3480589.608752732,6897515.03481165,0.4813721493277068,0.8760215716024597,3827291.4530566754,7658744.878327341,0.48236545768342454,0.8670178104235673
M,model_2_full_performance_age_exposure,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 3, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 7}",3421898.5542221908,6940974.652783915,0.4751562272094601,0.8744543319397756,3848850.186967399,7906616.999071867,0.472277809150093,0.8582706885393824
M,model_2_full_performance_age_exposure,ridge,True,False,"{""regressor__alpha"": 10.0}",3550153.935039393,6403225.062358488,0.5265267061927934,0.8931539801596633,3866127.9471342694,7275262.657045531,0.5204554982617906,0.8800015523337034
M,model_1_simplified_performance,ridge,True,False,"{""regressor__alpha"": 10.0}",3567040.613710053,6353414.604966065,0.5314823982328178,0.8948098173519741,3877845.554370176,7275490.602018477,0.5224816402231761,0.8799940327505069
M,model_3_position_percentiles,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 15}",3458934.646929741,7366951.705407712,0.47109183767247914,0.8585716545104648,3904695.785936613,8068593.428375462,0.47746407538490854,0.8524042208649935
M,model_3_position_percentiles,ridge,True,False,"{""regressor__alpha"": 0.1}",3658540.014473635,6878629.366355488,0.5235326913070153,0.8766995578159305,3975366.8497523125,7526961.58752425,0.5155474938162964,0.8715548610225158
